Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
C_Pt_211_bridge2-s    2.397    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    0.786    5.804    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    
C_Pt_211_fcc-s    1.995    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    0.825    5.621    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    
C_Pt_211_hcp-s    1.915    2.838    2.794    1.04    3.9    7.667    3    -1.942    1.947    0.805    5.711    5.75    8.959    2.125    8.8    1.133    2.28    1.742    0.16    
C_Pt_211_fcc-t    2.375    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    0.864    5.498    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    
C_Pt_211_hcp-t    2.279    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    0.854    5.513    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    
C_PtRh_211_four-fold-s-1    1.772    2.786    2.766    1.015    3.61    8.5    4    -1.723    2.128    1.411    8.574    5.414    8.209    1.634    8.36    1.135    2.28    1.817    0.156    
C_PtRh_211_four-fold-s-2    1.57    2.786    2.766    1.015    3.61    8.5    4    -1.723    2.128    1.411    8.574    5.414    8.209    1.634    8.36    1.135    2.28    1.817    0.156    
C_PtRh_211_bridge2-s-1    2.244    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
C_PtRh_211_bridge2-s-2    2.256    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
C_PtRh_211_fcc-s-1    2.149    2.803    2.758    1.023    3.707    8.333    3    -1.871    2.11    1.38    8.176    5.526    8.459    1.798    8.491    1.122    2.28    1.804    0.159    
C_PtRh_211_fcc-s-2    1.865    2.769    2.75    1.007    3.513    8.333    3    -1.619    2.166    1.432    8.879    5.302    7.959    1.47    8.23    1.143    2.28    2.133    0.16    
C_PtRh_211_hcp-s-1    1.656    2.769    2.744    1.007    3.513    7.667    3    -1.549    2.078    1.371    8.771    5.302    7.959    1.47    8.258    1.115    2.28    2.082    0.188    
C_PtRh_211_hcp-s-2    1.89    2.803    2.749    1.023    3.707    7.667    3    -1.814    2.034    1.334    8.158    5.526    8.459    1.798    8.523    1.083    2.28    1.752    0.184    
C_PtRh_211_fcc-t-1    2.103    2.769    2.779    1.007    3.513    9.667    3    -1.69    2.284    1.52    9.002    5.302    7.959    1.47    8.177    1.208    2.28    2.017    0.114    
C_PtRh_211_fcc-t-2    2.386    2.803    2.785    1.023    3.707    9.667    3    -1.955    2.239    1.483    8.389    5.526    8.459    1.798    8.442    1.177    2.28    1.687    0.11    
C_PtRh_211_hcp-t-1    1.942    2.769    2.77    1.007    3.513    9.333    3    -1.666    2.268    1.504    9.013    5.302    7.959    1.47    8.19    1.2    2.28    2.076    0.126    
C_PtRh_211_hcp-t-2    2.286    2.803    2.773    1.023    3.707    9.333    3    -1.966    2.213    1.456    8.274    5.526    8.459    1.798    8.449    1.158    2.28    1.796    0.119    
C_Rh_211_four-fold-s    1.222    2.734    2.714    0.99    3.32    8.5    4    -1.395    2.276    1.931    11.24    5.078    7.459    1.143    7.91    1.066    2.28    1.921    0.173    
C_Rh_211_fcc-s    1.946    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    1.892    10.993    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    
C_Rh_211_hcp-s    1.496    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    1.889    11.239    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    
C_Rh_211_fcc-t    2.009    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    1.95    10.919    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    
C_Rh_211_hcp-t    1.859    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    1.923    10.835    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    
C_Pt@Rh_211_four-fold-s-1    1.461    2.76    2.724    1.003    3.465    8.5    4    -1.579    2.227    1.748    10.036    5.246    7.834    1.388    8.104    1.081    2.28    1.707    0.164    
C_Pt@Rh_211_four-fold-s-2    1.224    2.734    2.713    0.99    3.32    8.5    4    -1.396    2.301    1.943    11.395    5.078    7.459    1.143    7.893    1.074    2.28    1.975    0.168    
C_Pt@Rh_211_bridge2-s-1    2.417    2.786    2.714    1.015    3.61    7.0    2    -1.667    1.96    1.45    8.576    5.414    8.209    1.634    8.369    1.009    2.28    1.633    0.221    
C_Pt@Rh_211_fcc-s-1    2.192    2.769    2.72    1.007    3.513    8.333    3    -1.66    2.171    1.592    9.071    5.302    7.959    1.47    8.173    1.081    2.28    1.629    0.163    
C_Pt@Rh_211_fcc-s-2    1.96    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    1.848    10.83    5.078    7.459    1.143    7.892    1.074    2.28    1.975    0.168    
C_Pt@Rh_211_hcp-s-1    1.776    2.769    2.714    1.007    3.513    7.667    3    -1.601    2.09    1.581    9.254    5.302    7.959    1.47    8.201    1.045    2.28    1.719    0.194    
C_Pt@Rh_211_hcp-s-2    1.497    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    1.837    11.014    5.078    7.459    1.143    7.921    1.038    2.28    2.064    0.199    
C_Pt@Rh_211_fcc-t-1    2.078    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    1.978    11.2    5.078    7.459    1.143    7.849    1.141    2.28    1.818    0.117    
C_Pt@Rh_211_fcc-t-2    2.038    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    2.016    11.326    5.078    7.459    1.143    7.841    1.123    2.28    1.822    0.115    
C_Pt@Rh_211_hcp-t-1    1.895    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    1.9    10.861    5.078    7.459    1.143    7.86    1.134    2.28    1.85    0.129    
C_Pt@Rh_211_hcp-t-2    1.869    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    1.938    10.986    5.078    7.459    1.143    7.852    1.116    2.28    1.854    0.127    
C_Ru_211_four-fold-s    1.049    2.732    2.703    1.05    3.87    8.5    4    -1.253    2.065    0.411    3.64    4.889    7.361    1.046    7.114    0.878    2.2    1.552    0.196    
C_Ru_211_fcc-s    2.275    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    0.383    3.447    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    
C_Ru_211_hcp-s    1.375    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    0.387    3.686    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    
C_Ru_211_hcp-t    1.639    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    0.396    3.257    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    
CH_Ag_211_four-fold-s    3.798    2.985    2.965    0.89    2.26    8.5    4    -4.042    1.034    2.954    21.737    4.427    7.576    1.304    9.847    1.128    1.93    0.037    0.276    
CH_Ag_211_bridge2-s    4.719    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    2.823    21.91    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    
CH_Ag_211_fcc-s    4.133    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    3.219    24.252    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    
CH_Ag_211_hcp-s    4.143    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    3.021    23.078    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    
CH_Ag_211_hcp-t    4.162    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    3.305    24.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    
