Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    
H_Rh_211_hcp-s    -0.297    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    1.889    11.239    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    
H_Rh_211_fcc-t    -0.234    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    1.95    10.919    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    
H_Rh_211_hcp-t    -0.251    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    1.923    10.835    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    
H_Pt@Rh_211_bridge2-s-1    -0.346    2.786    2.714    1.015    3.61    7.0    2    -1.667    1.96    1.45    8.576    5.414    8.209    1.634    8.369    1.009    2.28    1.633    0.221    
H_Pt@Rh_211_bridge2-s-2    -0.357    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    1.809    11.161    5.078    7.459    1.143    7.953    1.01    2.28    2.157    0.231    
H_Pt@Rh_211_fcc-s-1    -0.145    2.769    2.72    1.007    3.513    8.333    3    -1.66    2.171    1.592    9.071    5.302    7.959    1.47    8.173    1.081    2.28    1.629    0.163    
H_Pt@Rh_211_fcc-s-2    -0.25    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    1.848    10.83    5.078    7.459    1.143    7.892    1.074    2.28    1.975    0.168    
H_Pt@Rh_211_hcp-s-2    -0.298    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    1.837    11.014    5.078    7.459    1.143    7.921    1.038    2.28    2.064    0.199    
H_Pt@Rh_211_fcc-t-1    -0.228    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    1.978    11.2    5.078    7.459    1.143    7.849    1.141    2.28    1.818    0.117    
H_Pt@Rh_211_fcc-t-2    -0.23    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    2.016    11.326    5.078    7.459    1.143    7.841    1.123    2.28    1.822    0.115    
H_Pt@Rh_211_hcp-t-1    -0.25    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    1.9    10.861    5.078    7.459    1.143    7.86    1.134    2.28    1.85    0.129    
H_Pt@Rh_211_hcp-t-2    -0.25    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    1.938    10.986    5.078    7.459    1.143    7.852    1.116    2.28    1.854    0.127    
H_Ru_211_four-fold-s    -0.283    2.732    2.703    1.05    3.87    8.5    4    -1.253    2.065    0.411    3.64    4.889    7.361    1.046    7.114    0.878    2.2    1.552    0.196    
H_Ru_211_bridge2-s    -0.493    2.732    2.683    1.05    3.87    7.0    2    -1.158    1.939    0.39    3.925    4.889    7.361    1.046    7.152    0.809    2.2    1.745    0.269    
H_Ru_211_fcc-s    -0.351    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    0.383    3.447    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    
H_Ru_211_hcp-s    -0.396    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    0.387    3.686    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    
H_Ru_211_fcc-t    -0.363    2.732    2.715    1.05    3.87    9.667    3    -1.354    2.173    0.413    3.306    4.889    7.361    1.046    7.072    0.932    2.2    1.343    0.13    
H_Ru_211_hcp-t    -0.364    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    0.396    3.257    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    
O_Ag_211_bridge2-s    2.338    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    2.823    21.91    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    
O_Ag_211_fcc-s    1.969    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    3.219    24.252    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    
O_Ag_211_hcp-s    1.94    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    3.021    23.078    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    
O_Ag_211_fcc-t    1.89    2.985    2.98    0.89    2.26    9.667    3    -4.062    1.129    3.195    22.848    4.427    7.576    1.304    9.842    1.186    1.93    0.041    0.268    
O_Ag_211_hcp-t    2.058    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    3.305    24.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    
O_AgAu_211_bridge2-s-1    2.4    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
O_AgAu_211_fcc-s-1    2.263    2.987    2.965    0.93    2.623    8.333    3    -3.679    1.18    2.18    14.835    4.712    8.126    1.639    9.786    1.136    2.133    0.056    0.239    
O_AgAu_211_fcc-s-2    2.347    2.988    2.954    0.97    2.987    8.333    3    -3.482    1.262    2.073    14.173    4.996    8.676    1.974    9.754    1.223    2.337    0.066    0.268    
O_AgAu_211_hcp-s-1    2.223    2.988    2.949    0.97    2.987    7.667    3    -3.457    1.215    2.055    14.388    4.996    8.676    1.974    9.763    1.186    2.337    0.064    0.269    
O_AgAu_211_hcp-s-2    2.252    2.987    2.951    0.93    2.623    7.667    3    -3.638    1.138    2.156    15.106    4.712    8.126    1.639    9.796    1.107    2.133    0.051    0.253    
O_AgAu_211_fcc-t-1    2.441    2.988    2.976    0.97    2.987    9.667    3    -3.575    1.334    2.112    13.657    4.996    8.676    1.974    9.731    1.281    2.337    0.073    0.244    
O_AgAu_211_fcc-t-2    2.374    2.987    2.978    0.93    2.623    9.667    3    -3.756    1.257    2.213    14.375    4.712    8.126    1.639    9.764    1.201    2.133    0.06    0.228    
O_AgAu_211_hcp-t-1    2.58    2.988    2.969    0.97    2.987    9.333    3    -3.564    1.316    2.077    13.572    4.996    8.676    1.974    9.74    1.266    2.337    0.072    0.249    
O_AgAu_211_hcp-t-2    2.567    2.987    2.976    0.93    2.623    9.333    3    -3.715    1.246    2.233    14.706    4.712    8.126    1.639    9.768    1.187    2.133    0.06    0.233    
O_AgPd_211_bridge2-s-1    2.105    2.902    2.866    0.915    2.52    7.0    2    -2.343    1.118    1.815    13.473    4.819    7.957    0.933    9.672    0.795    2.065    0.262    0.193    
O_AgPd_211_bridge2-s-2    2.145    2.902    2.866    0.915    2.52    7.0    2    -2.343    1.118    1.815    13.473    4.819    7.957    0.933    9.672    0.795    2.065    0.262    0.193    
O_AgPd_211_fcc-s-1    2.077    2.929    2.884    0.907    2.433    8.333    3    -2.785    1.159    2.089    12.993    4.688    7.83    1.057    9.711    0.887    2.02    0.233    0.173    
O_AgPd_211_fcc-s-2    1.794    2.874    2.866    0.923    2.607    8.333    3    -2.043    1.254    1.444    11.141    4.949    8.083    0.809    9.576    0.84    2.11    0.383    0.169    
O_AgPd_211_hcp-s-1    2.023    2.929    2.875    0.907    2.433    7.667    3    -2.732    1.111    2.005    13.125    4.688    7.83    1.057    9.731    0.856    2.02    0.191    0.184    
O_AgPd_211_hcp-s-2    1.712    2.874    2.866    0.923    2.607    7.667    3    -2.026    1.214    1.576    12.415    4.949    8.083    0.809    9.584    0.803    2.11    0.379    0.179    
O_AgPd_211_fcc-t-2    1.801    2.874    2.884    0.923    2.607    9.667    3    -2.113    1.335    1.514    10.671    4.949    8.083    0.809    9.549    0.9    2.11    0.397    0.153    
O_AgPd_211_hcp-t-1    1.713    2.874    2.88    0.923    2.607    9.333    3    -2.108    1.318    1.526    10.879    4.949    8.083    0.809    9.551    0.885    2.11    0.394    0.16    
O_AgPd_211_hcp-t-2    2.281    2.929    2.888    0.907    2.433    9.333    3    -2.807    1.216    1.944    11.51    4.688    7.83    1.057    9.701    0.94    2.02    0.24    0.155    
O_Au_211_bridge2-s    2.492    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    1.431    10.044    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    
O_Au_211_fcc-s    2.479    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    1.458    9.76    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    
O_Au_211_hcp-s    2.464    2.99    2.951    1.01    3.35    7.667    3    -3.155    1.359    1.444    9.9    5.28    9.226    2.309    9.734    1.227    2.54    0.085    0.251    
O_Au_211_fcc-t    2.664    2.99    2.993    1.01    3.35    9.667    3    -3.283    1.455    1.473    9.308    5.28    9.226    2.309    9.715    1.303    2.54    0.098    0.22    
O_Au_211_hcp-t    2.779    2.99    2.988    1.01    3.35    9.333    3    -3.246    1.444    1.473    9.465    5.28    9.226    2.309    9.724    1.292    2.54    0.098    0.227    
O_Cu_211_bridge2-s    1.112    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    1.452    13.621    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    
O_Cu_211_fcc-s    0.873    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    1.935    15.964    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    
O_Cu_211_hcp-s    0.739    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    1.693    14.788    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    
O_Cu_211_fcc-t    1.009    2.603    2.593    0.67    1.0    9.667    3    -2.439    1.127    2.038    15.569    4.719    7.726    1.236    9.697    1.272    1.9    0.104    0.229    
O_Cu_211_hcp-t    1.108    2.603    2.587    0.67    1.0    9.333    3    -2.415    1.122    2.107    16.356    4.719    7.726    1.236    9.687    1.255    1.9    0.105    0.234    
O_Ag@Cu_211_bridge2-s-1    1.73    2.794    2.757    0.78    1.63    8.0    2    -3.229    1.054    2.287    16.613    4.573    7.651    1.27    9.791    1.03    1.915    0.066    0.274    
O_Ag@Cu_211_bridge2-s-2    1.195    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    1.235    12.981    4.719    7.726    1.236    9.796    1.173    1.9    0.089    0.29    
O_Ag@Cu_211_fcc-s-2    0.86    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    1.481    13.354    4.719    7.726    1.236    9.756    1.219    1.9    0.099    0.262    
O_Ag@Cu_211_hcp-s-2    0.817    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    1.475    13.783    4.719    7.726    1.236    9.782    1.194    1.9    0.094    0.274    
O_Ag@Cu_211_fcc-t-1    1.019    2.603    2.6    0.67    1.0    9.667    3    -2.453    1.099    1.692    13.649    4.719    7.726    1.236    9.733    1.285    1.9    0.104    0.235    
O_Ag@Cu_211_fcc-t-2    1.009    2.603    2.589    0.67    1.0    9.667    3    -2.452    1.126    1.956    14.94    4.719    7.726    1.236    9.739    1.269    1.9    0.106    0.23    
O_Ag@Cu_211_hcp-t-1    1.056    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    1.457    12.641    4.719    7.726    1.236    9.728    1.272    1.9    0.104    0.245    
O_Ag@Cu_211_hcp-t-2    1.121    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    1.721    13.933    4.719    7.726    1.236    9.734    1.257    1.9    0.105    0.24    
O_Ir_211_bridge2-s    -0.048    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    0.66    4.932    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    
O_Ir_211_fcc-s    0.799    2.753    2.709    1.08    4.45    8.333    3    -1.919    2.605    0.689    4.572    5.489    9.121    1.564    7.721    1.278    2.2    1.354    0.167    
O_Ir_211_hcp-s    0.509    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    0.671    4.737    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    
O_Ir_211_fcc-t    1.179    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    0.747    4.601    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    
O_Ir_211_hcp-t    1.157    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    0.721    4.475    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    
O_Pd@Ir_211_bridge2-s-1    0.339    2.786    2.742    1.01    3.615    7.0    2    -1.915    2.013    0.628    5.531    5.35    8.729    1.063    8.502    1.017    2.2    1.179    0.218    
O_Pd@Ir_211_bridge2-s-2    0.106    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    0.704    5.109    5.489    9.121    1.564    7.798    1.203    2.2    1.659    0.262    
O_Pd@Ir_211_fcc-s-1    0.821    2.775    2.747    1.033    3.893    8.333    3    -1.997    2.273    0.653    5.014    5.396    8.86    1.23    8.196    1.139    2.2    1.148    0.152    
O_Pd@Ir_211_fcc-s-2    0.655    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    0.765    4.967    5.489    9.121    1.564    7.715    1.264    2.2    1.446    0.175    
O_Pd@Ir_211_hcp-s-1    0.648    2.775    2.736    1.033    3.893    7.667    3    -1.923    2.212    0.653    5.202    5.396    8.86    1.23    8.232    1.109    2.2    1.243    0.192    
O_Pd@Ir_211_hcp-s-2    0.668    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    0.765    5.155    5.489    9.121    1.564    7.751    1.234    2.2    1.542    0.215    
O_Pd@Ir_211_fcc-t-1    1.16    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    0.75    4.659    5.489    9.121    1.564    7.696    1.311    2.2    1.347    0.117    
O_Pd@Ir_211_fcc-t-2    1.17    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    0.81    4.873    5.489    9.121    1.564    7.677    1.317    2.2    1.302    0.108    
O_Pd@Ir_211_hcp-t-1    0.984    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    0.727    4.612    5.489    9.121    1.564    7.697    1.299    2.2    1.372    0.13    
O_Pd@Ir_211_hcp-t-2    1.139    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    0.788    4.826    5.489    9.121    1.564    7.678    1.305    2.2    1.326    0.121    
O_IrRu_211_bridge2-s-1    -0.176    2.743    2.689    1.065    4.16    7.0    2    -1.446    2.214    0.595    4.915    5.189    8.241    1.305    7.398    1.005    2.2    1.807    0.322    
O_IrRu_211_bridge2-s-2    -0.147    2.743    2.689    1.065    4.16    7.0    2    -1.446    2.214    0.595    4.915    5.189    8.241    1.305    7.398    1.005    2.2    1.807    0.322    
O_IrRu_211_fcc-s-1    0.602    2.746    2.698    1.07    4.257    8.333    3    -1.694    2.404    0.728    4.801    5.289    8.534    1.391    7.456    1.118    2.2    1.556    0.229    
O_IrRu_211_fcc-s-2    0.411    2.739    2.701    1.06    4.063    8.333    3    -1.531    2.352    0.573    4.588    5.089    7.948    1.219    7.234    1.027    2.2    1.702    0.184    
O_IrRu_211_hcp-s-1    0.168    2.746    2.694    1.07    4.257    7.667    3    -1.614    2.327    0.712    4.987    5.289    8.534    1.391    7.472    1.087    2.2    1.643    0.272    
O_IrRu_211_hcp-s-2    -0.023    2.739    2.695    1.06    4.063    7.667    3    -1.445    2.265    0.533    4.622    5.089    7.948    1.219    7.272    0.991    2.2    1.793    0.256    
O_IrRu_211_fcc-t-1    0.887    2.746    2.725    1.07    4.257    9.667    3    -1.777    2.517    0.766    4.709    5.289    8.534    1.391    7.43    1.177    2.2    1.283    0.134    
O_IrRu_211_fcc-t-2    0.602    2.739    2.725    1.06    4.063    9.667    3    -1.608    2.455    0.587    4.345    5.089    7.948    1.219    7.23    1.081    2.2    1.432    0.119    
O_IrRu_211_hcp-t-1    0.458    2.739    2.716    1.06    4.063    9.333    3    -1.603    2.444    0.593    4.399    5.089    7.948    1.219    7.23    1.072    2.2    1.521    0.133    
O_IrRu_211_hcp-t-2    0.736    2.746    2.713    1.07    4.257    9.333    3    -1.785    2.501    0.762    4.712    5.289    8.534    1.391    7.419    1.163    2.2    1.377    0.143    
O_Ni_211_bridge2-s    0.152    2.502    2.464    0.71    1.16    7.0    2    -1.158    1.645    2.703    18.313    4.945    7.64    1.157    8.86    1.141    1.91    1.873    0.218    
O_Ni_211_fcc-s    0.155    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    2.642    17.151    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    
O_Ni_211_hcp-s    -0.068    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    2.672    17.722    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    
O_Ni_211_fcc-t    0.453    2.502    2.496    0.71    1.16    9.667    3    -1.29    1.865    2.639    16.464    4.945    7.64    1.157    8.784    1.308    1.91    1.78    0.128    
O_Ni_211_hcp-t    0.403    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    2.625    16.521    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    
O_Au@Ni_211_bridge2-s-2    0.289    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    2.475    17.257    4.945    7.64    1.157    8.768    1.173    1.91    2.065    0.214    
O_Au@Ni_211_fcc-s-2    0.2    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    2.529    16.689    4.945    7.64    1.157    8.723    1.235    1.91    1.988    0.167    
O_Au@Ni_211_hcp-s-2    0.076    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    2.512    16.91    4.945    7.64    1.157    8.746    1.206    1.91    2.012    0.19    
O_Au@Ni_211_fcc-t-1    0.61    2.502    2.508    0.71    1.16    9.667    3    -1.261    1.864    2.577    16.318    4.945    7.64    1.157    8.691    1.303    1.91    1.856    0.126    
O_Au@Ni_211_fcc-t-2    0.487    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    2.634    16.344    4.945    7.64    1.157    8.711    1.304    1.91    1.864    0.124    
O_Au@Ni_211_hcp-t-1    0.531    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    2.533    16.381    4.945    7.64    1.157    8.689    1.283    1.91    1.907    0.137    
O_Au@Ni_211_hcp-t-2    0.439    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    2.59    16.407    4.945    7.64    1.157    8.709    1.284    1.91    1.915    0.134    
O_Pd_211_bridge2-s    1.438    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    0.602    5.726    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    
O_Pd_211_fcc-s    1.231    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    0.592    5.089    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    
O_Pd_211_hcp-s    1.319    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    0.597    5.407    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    
O_Pd_211_fcc-t    1.5    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    0.682    4.968    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    
O_Pd_211_hcp-t    1.495    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    0.62    4.792    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    
O_Pt_211_bridge2-s    1.13    2.838    2.781    1.04    3.9    7.0    2    -1.895    1.891    0.786    5.804    5.75    8.959    2.125    8.812    1.101    2.28    1.72    0.176    
O_Pt_211_fcc-s    1.42    2.838    2.807    1.04    3.9    8.333    3    -1.989    2.003    0.825    5.621    5.75    8.959    2.125    8.786    1.167    2.28    1.766    0.145    
O_Pt_211_fcc-t    1.937    2.838    2.842    1.04    3.9    9.667    3    -2.076    2.073    0.864    5.498    5.75    8.959    2.125    8.792    1.219    2.28    1.579    0.106    
O_Pt_211_hcp-t    1.97    2.838    2.831    1.04    3.9    9.333    3    -2.056    2.066    0.854    5.513    5.75    8.959    2.125    8.78    1.21    2.28    1.684    0.118    
O_PtRh_211_bridge2-s-1    0.735    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
O_PtRh_211_bridge2-s-2    0.673    2.786    2.739    1.015    3.61    7.0    2    -1.617    1.974    1.3    8.401    5.414    8.209    1.634    8.421    1.065    2.28    1.865    0.212    
O_PtRh_211_fcc-s-1    1.255    2.803    2.758    1.023    3.707    8.333    3    -1.871    2.11    1.38    8.176    5.526    8.459    1.798    8.491    1.122    2.28    1.804    0.159    
O_PtRh_211_fcc-s-2    0.765    2.769    2.75    1.007    3.513    8.333    3    -1.619    2.166    1.432    8.879    5.302    7.959    1.47    8.23    1.143    2.28    2.133    0.16    
O_PtRh_211_hcp-s-1    0.755    2.769    2.744    1.007    3.513    7.667    3    -1.549    2.078    1.371    8.771    5.302    7.959    1.47    8.258    1.115    2.28    2.082    0.188    
O_PtRh_211_fcc-t-1    1.142    2.769    2.779    1.007    3.513    9.667    3    -1.69    2.284    1.52    9.002    5.302    7.959    1.47    8.177    1.208    2.28    2.017    0.114    
O_PtRh_211_fcc-t-2    1.614    2.803    2.785    1.023    3.707    9.667    3    -1.955    2.239    1.483    8.389    5.526    8.459    1.798    8.442    1.177    2.28    1.687    0.11    
O_PtRh_211_hcp-t-1    1.11    2.769    2.77    1.007    3.513    9.333    3    -1.666    2.268    1.504    9.013    5.302    7.959    1.47    8.19    1.2    2.28    2.076    0.126    
O_PtRh_211_hcp-t-2    1.632    2.803    2.773    1.023    3.707    9.333    3    -1.966    2.213    1.456    8.274    5.526    8.459    1.798    8.449    1.158    2.28    1.796    0.119    
O_Rh_211_bridge2-s    0.265    2.734    2.694    0.99    3.32    7.0    2    -1.293    2.099    1.886    11.48    5.078    7.459    1.143    7.969    0.987    2.28    2.07    0.24    
O_Rh_211_fcc-s    0.571    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    1.892    10.993    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    
O_Rh_211_hcp-s    0.337    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    1.889    11.239    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    
O_Rh_211_fcc-t    0.772    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    1.95    10.919    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    
O_Rh_211_hcp-t    0.693    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    1.923    10.835    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    
O_Pt@Rh_211_bridge2-s-1    0.669    2.786    2.714    1.015    3.61    7.0    2    -1.667    1.96    1.45    8.576    5.414    8.209    1.634    8.369    1.009    2.28    1.633    0.221    
O_Pt@Rh_211_bridge2-s-2    0.311    2.734    2.696    0.99    3.32    7.0    2    -1.293    2.108    1.809    11.161    5.078    7.459    1.143    7.953    1.01    2.28    2.157    0.231    
O_Pt@Rh_211_fcc-s-1    0.935    2.769    2.72    1.007    3.513    8.333    3    -1.66    2.171    1.592    9.071    5.302    7.959    1.47    8.173    1.081    2.28    1.629    0.163    
O_Pt@Rh_211_fcc-s-2    0.582    2.734    2.704    0.99    3.32    8.333    3    -1.418    2.273    1.848    10.83    5.078    7.459    1.143    7.892    1.074    2.28    1.975    0.168    
O_Pt@Rh_211_hcp-s-1    0.756    2.769    2.714    1.007    3.513    7.667    3    -1.601    2.09    1.581    9.254    5.302    7.959    1.47    8.201    1.045    2.28    1.719    0.194    
O_Pt@Rh_211_hcp-s-2    0.395    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.192    1.837    11.014    5.078    7.459    1.143    7.921    1.038    2.28    2.064    0.199    
O_Pt@Rh_211_fcc-t-1    0.867    2.734    2.727    0.99    3.32    9.667    3    -1.484    2.446    1.978    11.2    5.078    7.459    1.143    7.849    1.141    2.28    1.818    0.117    
O_Pt@Rh_211_fcc-t-2    0.799    2.734    2.722    0.99    3.32    9.667    3    -1.497    2.45    2.016    11.326    5.078    7.459    1.143    7.841    1.123    2.28    1.822    0.115    
O_Pt@Rh_211_hcp-t-1    0.761    2.734    2.721    0.99    3.32    9.333    3    -1.474    2.398    1.9    10.861    5.078    7.459    1.143    7.86    1.134    2.28    1.85    0.129    
O_Pt@Rh_211_hcp-t-2    0.729    2.734    2.716    0.99    3.32    9.333    3    -1.487    2.402    1.938    10.986    5.078    7.459    1.143    7.852    1.116    2.28    1.854    0.127    
O_Ru_211_bridge2-s    -0.208    2.732    2.683    1.05    3.87    7.0    2    -1.158    1.939    0.39    3.925    4.889    7.361    1.046    7.152    0.809    2.2    1.745    0.269    
O_Ru_211_fcc-s    0.25    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    0.383    3.447    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    
O_Ru_211_hcp-s    -0.298    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    0.387    3.686    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    
O_Ru_211_fcc-t    0.276    2.732    2.715    1.05    3.87    9.667    3    -1.354    2.173    0.413    3.306    4.889    7.361    1.046    7.072    0.932    2.2    1.343    0.13    
O_Ru_211_hcp-t    -0.041    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    0.396    3.257    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    
OH_Ag_211_bridge2-s    0.332    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    2.823    21.91    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    
OH_Ag_211_fcc-s    0.446    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    3.219    24.252    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    
OH_Ag_211_hcp-s    0.38    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    3.021    23.078    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    
OH_Ag_211_top-s    0.896    2.985    2.946    0.89    2.26    7.0    1    -4.008    0.934    2.824    21.923    4.427    7.576    1.304    9.865    1.051    1.93    0.031    0.29    
OH_Ag_211_bridge2-t    0.612    2.985    2.972    0.89    2.26    9.0    2    -4.033    1.122    3.417    25.416    4.427    7.576    1.304    9.843    1.148    1.93    0.04    0.281    
OH_Ag_211_bridge1-t    0.604    2.985    2.978    0.89    2.26    9.5    2    -4.055    1.127    3.251    23.498    4.427    7.576    1.304    9.843    1.177    1.93    0.041    0.272    
OH_Ag_211_fcc-t    0.585    2.985    2.98    0.89    2.26    9.667    3    -4.062    1.129    3.195    22.848    4.427    7.576    1.304    9.842    1.186    1.93    0.041    0.268    
OH_Ag_211_hcp-t    0.558    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    3.305    24.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    
OH_AgAu_211_bridge3-s-1    0.843    2.988    2.958    0.95    2.805    8.5    2    -3.568    1.23    2.163    14.797    4.854    8.401    1.807    9.762    1.191    2.235    0.059    0.26    
OH_AgAu_211_bridge3-s-2    0.879    2.988    2.965    0.95    2.805    8.5    2    -3.637    1.211    2.091    14.087    4.854    8.401    1.807    9.769    1.178    2.235    0.062    0.239    
OH_AgAu_211_bridge2-s-1    0.571    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
OH_AgAu_211_bridge2-s-2    0.592    2.988    2.941    0.95    2.805    7.0    2    -3.514    1.131    2.084    14.99    4.854    8.401    1.807    9.79    1.114    2.235    0.053    0.268    
OH_AgAu_211_fcc-s-1    0.786    2.987    2.965    0.93    2.623    8.333    3    -3.679    1.18    2.18    14.835    4.712    8.126    1.639    9.786    1.136    2.133    0.056    0.239    
OH_AgAu_211_fcc-s-2    1.034    2.988    2.954    0.97    2.987    8.333    3    -3.482    1.262    2.073    14.173    4.996    8.676    1.974    9.754    1.223    2.337    0.066    0.268    
